image_id,GPT-4.5,GPT-4o,Llama,gpt_4_5_length,gpt_4_5_coverage,gpt_4o_length,gpt_4o_coverage,llama_length,llama_coverage,gpt_4_5_tfidf,gpt_4o_tfidf,llama_tfidf,gpt_4_5_sbert_score,gpt_4_5_sbert_score_norm,gpt_4o_sbert_score,gpt_4o_sbert_score_norm,llama_sbert_score,llama_sbert_score_norm,sbert_cos_gpt_4_5_gpt_4o,sbert_cos_gpt_4_5_llama,sbert_cos_gpt_4o_llama,cos_gpt_4_5_gpt_4o,cos_gpt_4_5_llama,cos_gpt_4o_llama,gpt_4_5_length_norm,gpt_4_5_tfidf_norm,gpt_4_5_score,gpt_4o_length_norm,gpt_4o_tfidf_norm,gpt_4o_score,llama_length_norm,llama_tfidf_norm,llama_score,best_model,mean_pairwise_semantic,min_pairwise_semantic,semantic_agreement,trusted_for_auto_use
7109.jpg,"Natural environment, grassy open field.","Outdoor environment with grass and distant lights, potentially near a populated area or buildings.","Outdoor, grassy field with distant lights",5,1.0,14,1.0,6,1.0,2.6868388644316576,3.9768454312509496,2.7877876572077005,0.8448973894119263,0.5188763513781346,0.896883487701416,0.9271812345301844,0.9130858778953552,0.9605560634479189,0.600037693977356,0.6430525183677673,0.7810686826705933,0.01276284305396881,0.06842419014748184,0.1934868932290875,0.18181818181818182,0.365690428883019,0.5354394873979778,0.4,0.6630056950671425,0.8097742023322165,0.375,0.7177965171008909,0.8370613805094348,llama,0.6747,0.6,partial,False
7110.jpg,Outdoor natural grassy area.,An open natural environment with grass and faint structures visible in the distant background.,A grassy field or meadow at night.,4,1.0,14,1.0,7,1.0,2.448275288540071,3.765805243687114,2.459737663342716,0.8807848691940308,0.6451539564887019,0.8365869522094727,0.8591080402749756,0.8589454889297485,0.9031311606677553,0.605789065361023,0.6633915901184082,0.5495240688323975,0.020181601654108577,0.0461943101026758,0.0,0.09090909090909091,0.25030658113830595,0.5422444660278816,0.4,0.627821816623356,0.771989761096997,0.4375,0.6333305634539375,0.7950016333032834,llama,0.6062,0.5495,low,False
7111.jpg,Outdoor natural grass-covered field,An open grassy field.,Grassy field or meadow,4,1.0,4,1.0,4,1.0,2.5611909970165603,2.1360616081383417,2.130630521869533,0.8953061103820801,0.6962499813863372,0.9268192052841187,0.9609778681435481,0.9180506467819214,0.9658220280278587,0.738661527633667,0.7146345973014832,0.8009858727455139,0.03911869207291022,0.03795894845133108,0.3210613803309497,0.09090909090909091,0.304919481980966,0.5790667462397338,0.11428571428571428,0.3561166848681155,0.7026547241464255,0.25,0.5485924165969794,0.7759065361902374,llama,0.7514,0.7146,partial,False
7112.jpg,"Outdoor natural area, grassy terrain",An outdoor open field with tall grass in the foreground and faint lights visible in the distance.,Grassy field or meadow,5,1.0,17,1.0,4,1.0,2.7901404034219977,4.146520194932033,2.130630521869533,0.8507974743843079,0.539637034624349,0.8193662166595459,0.8396662851767183,0.8783120512962341,0.9236726267031748,0.5090070962905884,0.6592298150062561,0.579127848148346,0.012202397124247052,0.05416453641292678,0.02876990305614899,0.18181818181818182,0.4156533329102146,0.5587326319046221,0.4857142857142857,0.6912932754054971,0.791825925263765,0.25,0.5485924165969794,0.7590467756603637,gpt_4o,0.5825,0.509,low,False
7113.jpg,Outdoor natural setting with grassy ground,"The scene appears to be outdoors in a natural setting, such as a field or grassland.",Grassy field or meadow,6,1.0,16,1.0,4,1.0,2.7442313670319307,3.4194566257292007,2.130630521869533,0.870040774345398,0.6073486111481055,0.8795360326766968,0.9075964164955065,0.8785994648933411,0.923977476708631,0.6445409655570984,0.6420795917510986,0.6670345067977905,0.1915249952927842,0.04346310646512509,0.029888312626905788,0.2727272727272727,0.3934489320701416,0.5882468513530119,0.45714285714285713,0.5700797921583775,0.7797767899600015,0.25,0.5485924165969794,0.7591687156625463,gpt_4o,0.6512,0.6421,partial,False
7114.jpg,An outdoor grassy field,"An outdoor, open grassy environment.","Outdoor, natural environment with grass and vegetation",4,1.0,5,1.0,7,1.0,2.0769659872181734,2.3551216122839684,2.77163005532337,0.9054795503616333,0.732047358191679,0.9359982013702393,0.9713407120207354,0.8738428950309753,0.9189323418817105,0.8137193918228149,0.6449482440948486,0.7278159260749817,0.09549037066869714,0.04769953108735288,0.06056341675390476,0.09090909090909091,0.07071883087172137,0.5231255016290971,0.14285714285714285,0.39263759894958045,0.7206132787788826,0.4375,0.7136362754385499,0.8254138193842491,llama,0.7288,0.6449,partial,False
7115.jpg,Outdoor natural grassy area,The environment appears to be an open grassy area with a faint urban setting in the distance.,Grassy field or meadow,4,1.0,17,1.0,4,1.0,2.448275288540071,3.8379807733890905,2.130630521869533,0.9031885862350464,0.7239861216530274,0.836086630821228,0.8585431906567655,0.8683123588562012,0.9130662868306406,0.6355558633804321,0.7195878028869629,0.5446127653121948,0.12737034754498794,0.07069611539081284,0.024142898773569316,0.09090909090909091,0.25030658113830595,0.5737773320936118,0.4857142857142857,0.6398546672996382,0.7839451050240264,0.25,0.5485924165969794,0.75480423971135,gpt_4o,0.6333,0.5446,low,False
7116.jpg,"Outdoor grassy environment, possibly natural or rural","Outdoor environment, primarily a grassy field.",Grassy field or meadow,7,1.0,6,1.0,4,1.0,2.981065950077273,2.501952413443764,2.130630521869533,0.9303737878799438,0.8196429406609014,0.9543009996414185,0.9920040873202061,0.9008526802062988,0.9475807191364687,0.8702314496040344,0.721349835395813,0.7879999279975891,0.047502799592443835,0.0385701479521033,0.15038771194564438,0.36363636363636365,0.5079965337677489,0.7166197727583217,0.17142857142857143,0.41711671413349477,0.7390795063109881,0.25,0.5485924165969794,0.7686100126336813,llama,0.7932,0.7213,high,True
7117.jpg,Outdoor area with natural grassy terrain,"Natural environment, likely a field or grassy area, with distant artificial lights.",A grassy field with tall grass and a dark background.,6,1.0,12,1.0,10,1.0,2.7179847084530806,3.7712355344370794,3.0248167989713997,0.8357752561569214,0.4867782172116922,0.800849199295044,0.8187610621851047,0.8517121076583862,0.8954589546822441,0.47656333446502686,0.603127121925354,0.5162191390991211,0.05570880531257126,0.020770195779740798,0.029300109231552667,0.2727272727272727,0.38075445242901745,0.5362103498861094,0.34285714285714286,0.6287271356143345,0.7504082798440566,0.625,0.778826521294184,0.8543315382611529,llama,0.532,0.4766,low,False
7118.jpg,"Outdoor natural area, grassy field",Outdoor environment with grass in the foreground and distant lights in the background.,Grassy field or meadow at night,5,1.0,13,1.0,6,1.0,2.7830871781373183,3.324376614613901,2.459737663342716,0.9049328565597534,0.7301237016839125,0.8673100471496582,0.8937936021057034,0.8938274383544922,0.9401292796833202,0.6709585189819336,0.7416560649871826,0.6413507461547852,0.01964489825596864,0.16392899588017265,0.0,0.18181818181818182,0.4122419643921369,0.6339038881730242,0.37142857142857144,0.5542283868306472,0.7609288140343327,0.375,0.6333305634539375,0.8035508809095092,llama,0.6847,0.6414,partial,False
