image_id,GPT-4.5,GPT-4o,Llama,gpt_4_5_length,gpt_4_5_coverage,gpt_4o_length,gpt_4o_coverage,llama_length,llama_coverage,gpt_4_5_tfidf,gpt_4o_tfidf,llama_tfidf,gpt_4_5_sbert_score,gpt_4_5_sbert_score_norm,gpt_4o_sbert_score,gpt_4o_sbert_score_norm,llama_sbert_score,llama_sbert_score_norm,sbert_cos_gpt_4_5_gpt_4o,sbert_cos_gpt_4_5_llama,sbert_cos_gpt_4o_llama,cos_gpt_4_5_gpt_4o,cos_gpt_4_5_llama,cos_gpt_4o_llama,gpt_4_5_length_norm,gpt_4_5_tfidf_norm,gpt_4_5_score,gpt_4o_length_norm,gpt_4o_tfidf_norm,gpt_4o_score,llama_length_norm,llama_tfidf_norm,llama_score,best_model,mean_pairwise_semantic,min_pairwise_semantic,semantic_agreement,trusted_for_auto_use
7109.jpg,Low artificial infrared or night vision illumination.,Low light conditions with infrared illumination typical of a nighttime trail camera.,"Low light, with artificial illumination from an unknown source",7,1.0,12,1.0,9,1.0,2.9647615243731704,3.704295089682884,3.004840757094943,0.9054663181304932,0.6642811799334362,0.8586275577545166,0.8847095036396888,0.8387703895568848,0.8737845218201138,0.7042459845542908,0.6525603532791138,0.5306454300880432,0.06397668910957087,0.11195375105100723,0.06122905865276196,0.3333333333333333,0.38885734486080553,0.6157030087649494,0.6666666666666666,0.7928754387497726,0.8584130997474739,0.47368421052631576,0.6901026640425856,0.8039130289934527,gpt_4o,0.6292,0.5306,low,False
7110.jpg,"Low lighting, possibly infrared camera night vision.",Low-light conditions with infrared or night-camera illumination.,"Low light, with the animal illuminated by a camera flash or other artificial light source.",7,1.0,7,1.0,15,1.0,3.2168174321220833,3.1313163725004043,3.606713747128157,0.9113739132881165,0.6934368129395202,0.8746174573898315,0.9008449162766196,0.8710325956344604,0.9068295444233142,0.7155333757400513,0.7060086131095886,0.6083455681800842,0.08386975061124427,0.02507987272104343,0.06316671033373006,0.3333333333333333,0.49485677067825495,0.6591650897126179,0.3888888888888889,0.6702338184734484,0.8002970009415712,0.7894736842105263,0.8283310053803006,0.8901784878044685,llama,0.6766,0.6083,partial,False
7111.jpg,"Low-light conditions, illuminated by flash or infrared",Low light conditions; image captured with infrared/black-and-white night vision technology.,"Low light, likely from moon or stars",7,1.0,10,1.0,7,1.0,2.796843145293102,4.089113319985115,2.564661618296781,0.8804636001586914,0.5408857796240917,0.876272439956665,0.9025149596935155,0.8278714418411255,0.862621119889311,0.7003753781318665,0.5752776861190796,0.5644453763961792,0.07368845199623855,0.03710984380286659,0.020251716248623694,0.3333333333333333,0.3182410600625341,0.5451599632017302,0.5555555555555556,0.8752427760711393,0.8791343722543037,0.3684210526315789,0.5890095210454626,0.7585934095325212,gpt_4o,0.6134,0.5644,partial,False
7112.jpg,Low-light conditions or infrared illumination typical of night vision cameras,"Low-light conditions, likely illuminated by infrared or artificial light.","Low light, with some illumination possibly from a camera flash or external light source",10,1.0,9,1.0,14,1.0,3.6362280787693204,3.4188998330087164,3.6535045814277423,0.8738280534744263,0.5081375024048036,0.8944098949432373,0.9208174710955102,0.8845460414886475,0.9206708831905697,0.672121524810791,0.6459550857543945,0.7005544900894165,0.10102628891486395,0.052353071191774174,0.05189125353620587,0.5833333333333334,0.6712354484223161,0.6629589688219497,0.5,0.7317888125836034,0.8378636322132851,0.7368421052631579,0.8390771586753382,0.893675711405145,llama,0.6729,0.646,partial,False
7113.jpg,"Low-light conditions, infrared night vision used",Low light conditions with artificial infrared illumination from the camera.,"Low light, likely using infrared or night vision",6,1.0,10,1.0,8,1.0,3.1436588315775107,3.2225282950293153,3.246120473673556,0.9499384760856628,0.8837637073805555,0.9281069040298462,0.9548211333225076,0.9134373068809509,0.9502631719394571,0.8463433384895325,0.8053934574127197,0.7444508075714111,0.13338520794729677,0.24244606964338877,0.06812491291974798,0.25,0.46409070087814613,0.7177326932156661,0.5555555555555556,0.6897570182573274,0.8444111143617568,0.42105263157894735,0.7455158418614725,0.8458652844921194,llama,0.7987,0.7445,high,True
7114.jpg,"Dim, illuminated by infrared night-time wildlife camera","Low-light conditions, primarily illuminated by infrared or artificial lighting.","Low light, illuminated by camera flash or night vision",7,1.0,9,1.0,9,1.0,3.2831485014788826,3.490917108774081,3.330179046479363,0.796169102191925,0.12486887569327473,0.8587065935134888,0.8847892586483614,0.8665717840194702,0.9022604947962823,0.49383315443992615,0.5136650204658508,0.671349823474884,0.0909829997499856,0.08976567909480522,0.0895251182149452,0.3333333333333333,0.5227515949990647,0.44010636211036264,0.5,0.7472035481102256,0.8280767678924124,0.47368421052631576,0.7648210396134452,0.8377189308551781,llama,0.5596,0.4938,low,False
7115.jpg,"Infrared nighttime illumination, low visibility","Low lighting conditions, with visibility aided by infrared or night vision.","Low light, likely from moon or artificial sources in the distance",5,1.0,11,1.0,11,1.0,2.72933388215288,3.3196649124072772,3.3058745718745315,0.8714120984077454,0.49621408900156083,0.8994020819664001,0.9258550885550694,0.8147910833358765,0.8492233769877693,0.7359488606452942,0.5171782970428467,0.5895494818687439,0.1091725892230587,0.007774524267760006,0.0058960872662894,0.16666666666666666,0.28985075890224127,0.5021075299379634,0.6111111111111112,0.7105483527103322,0.8446176523462385,0.5789473684210527,0.7592391855223933,0.825355843293931,gpt_4o,0.6142,0.5172,low,False
7116.jpg,"Low-light conditions, likely infrared or night-vision camera effect","Low-light conditions, illuminated by infrared or night vision camera.","Low light, likely infrared or night vision",8,1.0,9,1.0,7,1.0,3.4781818668002207,3.6660416377561003,3.040020301989338,0.9634122848510742,0.950260718952441,0.9589035511016846,0.9858980393488943,0.9364072680473328,0.9737904807698754,0.9092196822166443,0.844909131526947,0.832019567489624,0.4200083626743665,0.4745998134493795,0.36051021337919575,0.4166666666666667,0.6047707982938378,0.8032021937357944,0.5,0.7846875860690785,0.8797654915602813,0.3684210526315789,0.6981821263548911,0.8358129354775755,gpt_4o,0.862,0.832,high,True
7117.jpg,"Low illumination, image captured with infrared/night vision","Low light conditions, illuminated by infrared or night vision technology.","Low light conditions, likely captured using infrared or night vision.",7,1.0,10,1.0,10,1.0,3.1666065915006794,3.56934681837694,3.744692501340359,0.8884177207946777,0.5801415877763612,0.9483980536460876,0.9752969386372985,0.9303150773048401,0.9675504679107235,0.7542033195495605,0.7041653394699097,0.8701387643814087,0.1554948085594608,0.20724262531475077,0.27033818524413683,0.3333333333333333,0.4737411367571403,0.6075123094710199,0.5555555555555556,0.7639908150279127,0.8748715755188488,0.5263157894736842,0.8600197082302896,0.8976576785807446,llama,0.7762,0.7042,partial,False
7118.jpg,"Low-light, infrared night vision illumination","Low-light conditions, likely illuminated by infrared or night vision.","Low light, likely infrared or night vision",5,1.0,9,1.0,7,1.0,2.9350050891853723,3.552455846520138,3.040020301989338,0.8692585825920105,0.48558588664152924,0.9375526905059814,0.9643528793589974,0.9511909484863281,0.9889328753442084,0.6799017786979675,0.7175160646438599,0.9058713316917419,0.2961618822795234,0.35780103693358256,0.41319912161463596,0.16666666666666666,0.37634359316004085,0.5238040992712907,0.5,0.7603754343960692,0.8638537820624197,0.3684210526315789,0.6981821263548911,0.8418698933073087,gpt_4o,0.7678,0.6799,partial,False
